TIPO_CADENA;CODIGO_ANSI;PASO_P_MM;DIAM_RODILLO_A_MM;DIST_PLACAS_INT_B_MM;DIAM_PERNO_C_MM;LONG_PERNO_D_MM;LONG_PERNO_E_MM;ALTURA_PLACA_INT_F_MM;ANCHO_PLACA_G_MM;PASO_TRANSVERSAL_H_MM;RESIST_MIN_TRACCION_KN;RESIST_MED_TRACCION_KN;PESO_KG_M
SIMPLEX;*15-1;4,763;2,48;2,38;1,62;6,10;6,90;4,30;0,60;;1,8;2,0;0,08
SIMPLEX;*25-1;6,350;3,30;3,18;2,31;7,90;8,40;6,00;0,80;;3,5;4,6;0,15
SIMPLEX;*35-1;9,525;5,08;4,77;3,58;12,40;13,17;9,00;1,30;;7,9;10,8;0,33
SIMPLEX;40-1;12,700;7,95;7,85;3,96;16,60;17,80;12,00;1,50;;14,1;17,5;0,62
SIMPLEX;50-1;15,875;10,16;9,40;5,08;20,70;22,20;15,09;2,03;;22,2;29,4;1,02
SIMPLEX;60-1;19,050;11,91;12,57;5,94;25,90;27,70;18,00;2,42;;31,8;41,5;1,50
SIMPLEX;80-1;25,400;15,88;15,75;7,92;32,70;35,00;24,00;3,25;;56,7;69,4;2,60
SIMPLEX;100-1;31,750;19,05;18,90;9,53;40,40;44,70;30,00;4,00;;88,5;109,2;3,91
SIMPLEX;120-1;38,100;22,23;25,22;11,10;50,30;54,30;35,70;4,80;;127,0;156,3;5,62
SIMPLEX;140-1;44,450;25,40;25,22;12,70;54,40;59,00;41,00;5,60;;172,4;212,0;7,50
SIMPLEX;160-1;50,800;28,58;31,55;14,27;64,80;69,60;47,80;6,40;;226,8;278,9;10,10
SIMPLEX;180-1;57,150;35,71;35,48;17,46;72,80;78,60;53,60;7,20;;280,2;341,8;13,45
SIMPLEX;200-1;63,500;39,68;37,85;19,85;80,30;87,20;60,00;8,00;;353,8;431,6;16,15
SIMPLEX;240-1;76,200;47,63;47,35;23,81;95,50;103,00;72,39;9,50;;510,3;622,5;23,20
DUPLEX;*25-2;6,350;3,30;3,18;2,31;14,50;15,00;6,00;0,80;6,40;7,0;8,6;0,28
DUPLEX;*35-2;9,525;5,08;4,77;3,58;22,50;23,30;9,00;1,30;10,13;15,8;19,7;0,63
DUPLEX;40-2;12,700;7,95;7,85;3,96;31,00;32,20;12,00;1,50;14,38;28,2;35,9;1,12
DUPLEX;50-2;15,875;10,16;9,40;5,08;38,90;40,40;15,09;2,03;18,11;44,4;58,1;2,00
DUPLEX;60-2;19,050;11,91;12,57;5,94;48,80;50,50;18,00;2,42;22,78;63,6;82,1;2,92
DUPLEX;80-2;25,400;15,88;15,75;7,92;62,70;64,30;24,00;3,25;29,29;113,4;141,8;5,15
DUPLEX;100-2;31,750;19,05;18,90;9,53;76,40;80,50;30,00;4,00;35,76;177,0;219,4;7,80
DUPLEX;120-2;38,100;22,23;25,22;11,10;95,80;99,70;35,70;4,80;45,44;254,0;314,9;11,70
DUPLEX;140-2;44,450;25,40;25,22;12,70;103,30;107,90;41,00;5,60;48,87;344,8;427,5;15,14
DUPLEX;160-2;50,800;28,58;31,55;14,27;123,30;128,10;47,80;6,40;58,55;453,6;562,4;20,14
DUPLEX;180-2;57,150;35,71;35,48;17,46;138,60;144,40;53,60;7,20;65,84;560,5;695,0;29,22
DUPLEX;200-2;63,500;39,68;37,85;19,85;151,90;158,80;60,00;8,00;71,55;707,6;877,4;32,24
DUPLEX;240-2;76,200;47,63;47,35;23,81;183,40;190,80;72,39;9,50;87,83;1020,6;1255,3;45,23
TRIPLEX;*25-3;6,350;3,30;3,18;2,31;21,00;21,50;6,00;0,80;6,40;10,5;12,6;0,44
TRIPLEX;*35-3;9,525;5,08;4,77;3,58;32,70;33,50;9,00;1,30;10,13;23,7;28,6;1,05
TRIPLEX;40-3;12,700;7,95;7,85;3,96;45,40;46,60;12,00;1,50;14,38;42,3;50,0;1,90
TRIPLEX;50-3;15,875;10,16;9,40;5,08;57,00;58,50;15,09;2,03;18,11;66,6;77,8;3,09
TRIPLEX;60-3;19,050;11,91;12,57;5,94;71,50;73,30;18,00;2,42;22,78;95,4;111,1;4,54
TRIPLEX;80-3;25,400;15,88;15,75;7,92;91,70;93,60;24,00;3,25;29,29;170,1;198,4;7,89
TRIPLEX;100-3;31,750;19,05;18,90;9,53;112,20;116,30;30,00;4,00;35,76;265,5;309,6;11,77
TRIPLEX;120-3;38,100;22,23;25,22;11,10;141,40;145,20;35,70;4,80;45,44;381,0;437,2;17,53
TRIPLEX;140-3;44,450;25,40;25,22;12,70;152,20;156,80;41,00;5,60;48,87;517,2;593,3;22,20
TRIPLEX;160-3;50,800;28,58;31,55;14,27;181,80;186,60;47,80;6,40;58,55;680,4;780,6;30,02
TRIPLEX;180-3;57,150;35,71;35,48;17,46;204,40;210,20;53,60;7,20;65,84;840,7;983,6;38,22
TRIPLEX;200-3;63,500;39,68;37,85;19,85;223,50;230,40;60,00;8,00;71,55;1061,4;1217,8;49,03
TRIPLEX;240-3;76,200;47,63;47,35;23,81;271,30;278,60;72,39;9,50;87,83;1530,9;1756,5;71,60
