TIPO_CADENA;CODIGO_ANSI;PASO_P_MM;DIAM_RODILLO_A_MM;DIST_PLACAS_INT_B_MM;DIAM_PERNO_C_MM;LONG_PERNO_D_MM;LONG_PERNO_E_MM;ALTURA_PLACA_INT_F_MM;GROSOR_PLACA_G_MM;PASO_TRANSVERSAL_H_MM;RESIST_MIN_TRACCION_KN;RESIST_MED_TRACCION_KN;PESO_KG_M
SIMPLEX;C40-1;12,700;7,95;7,85;3,96;18,80;16,60;12,00;1,50;;14,10;17,50;0,73
SIMPLEX;C50-1;15,875;10,16;9,40;5,08;20,70;23,30;15,09;2,03;;22,20;29,40;1,23
SIMPLEX;C60-1;19,050;11,91;12,57;5,94;28,30;25,90;18,00;2,42;;31,80;41,50;1,81
SIMPLEX;C80-1;25,400;15,88;15,75;7,92;36,50;32,70;24,00;3,25;;56,70;69,40;3,09
SIMPLEX;C100-1;31,750;19,05;18,90;9,53;40,40;44,70;30,00;4,00;;88,50;109,20;4,56
SIMPLEX;C120-1;38,100;22,23;25,22;11,10;50,30;54,30;35,70;4,80;;127,00;156,30;6,86
SIMPLEX;C140-1;44,450;25,40;25,22;12,70;59,00;54,40;41,00;5,60;;172,40;212,00;8,49
SIMPLEX;C160-1;50,800;28,58;31,55;14,27;69,60;64,80;47,80;6,40;;226,80;278,90;11,50
DUPLEX;C40-2;12,700;7,95;7,85;3,96;31,00;33,20;12,00;1,50;14,38;28,20;35,90;1,43
DUPLEX;C50-2;15,875;10,16;9,40;5,08;41,40;38,90;15,09;2,03;18,11;44,40;58,10;2,42
DUPLEX;C60-2;19,050;11,91;12,57;5,94;48,80;51,10;18,00;2,42;22,78;63,60;82,10;3,58
DUPLEX;C80-2;25,400;15,88;15,75;7,92;65,80;62,70;24,00;3,25;29,29;113,40;141,80;6,12
DUPLEX;C100-2;31,750;19,05;18,90;9,53;76,40;80,50;30,00;4,00;35,76;177,00;219,40;9,08
DUPLEX;C120-2;38,100;22,23;25,22;11,10;95,80;99,70;35,70;4,80;45,44;254,00;314,90;13,60
DUPLEX;C140-2;44,450;25,40;25,22;12,70;107,90;103,30;41,00;5,60;48,87;344,80;427,50;16,86
DUPLEX;C160-2;50,800;28,58;31,55;14,27;128,10;123,30;47,80;6,40;58,55;453,60;562,40;22,90
TRIPLEX;C40-3;12,700;7,95;7,85;3,96;45,40;47,60;12,00;1,50;14,38;42,30;50,00;2,14
TRIPLEX;C50-3;15,875;10,16;9,40;5,08;59,50;57,00;15,09;2,03;18,11;66,60;77,80;3,62
TRIPLEX;C60-3;19,050;11,91;12,57;5,94;73,90;71,50;18,00;2,42;22,78;95,40;111,10;5,36
TRIPLEX;C80-3;25,400;15,88;15,75;7,92;95,10;91,70;24,00;3,25;29,29;170,10;198,40;9,10
TRIPLEX;C100-3;31,750;19,05;18,90;9,53;112,20;116,30;30,00;4,00;35,76;265,50;309,60;13,60
TRIPLEX;C120-3;38,100;22,23;25,22;11,10;145,20;141,40;35,70;4,80;45,44;381,00;437,20;20,43
TRIPLEX;C140-3;44,450;25,40;25,22;12,70;156,80;152,20;41,00;5,60;48,87;517,20;593,30;25,23
TRIPLEX;C160-3;50,800;28,58;31,55;14,27;181,80;186,60;47,80;6,40;58,55;680,40;780,60;34,19
