TIPO_CADENA;CODIGO_ANSI;PASO_P_MM;DIAM_RODILLO_A_MM;DIST_PLACAS_INT_B_MM;DIAM_PERNO_C_MM;LONG_PERNO_D_MM;LONG_PERNO_E_MM;ALTURA_PLACA_INT_F_MM;ANCHO_PLACA_G_MM;PASO_TRANSVERSAL_H_MM;RESIST_MIN_TRACCION_KN;RESIST_MED_TRACCION_KN;PESO_KG_M
SIMPLEX;40H-1;12,700;7,95;7,85;3,96;18,80;19,90;12,00;2,03;;14,10;19,10;0,82
SIMPLEX;50H-1;15,875;10,16;9,40;5,08;22,10;23,40;15,09;2,42;;22,20;30,20;1,25
SIMPLEX;60H-1;19,050;11,91;12,57;5,94;29,20;31,00;18,00;3,25;;31,80;42,70;1,87
SIMPLEX;80H-1;25,400;15,88;15,75;7,92;36,20;37,70;24,00;4,00;;56,70;71,40;3,10
SIMPLEX;100H-1;31,750;19,05;18,90;9,53;43,60;46,90;30,00;4,80;;88,50;112,40;4,52
SIMPLEX;120H-1;38,100;22,23;25,22;11,10;53,50;57,50;35,70;5,60;;127,00;160,90;6,60
SIMPLEX;140H-1;44,450;25,40;25,22;12,70;57,60;62,20;41,00;6,40;;172,40;217,30;8,30
SIMPLEX;160H-1;50,800;28,58;31,55;14,27;68,20;73,00;47,80;7,20;;226,80;285,80;10,30
SIMPLEX;200H-1;63,500;39,68;37,85;19,85;86,60;93,50;60,00;9,50;;353,80;444,50;19,16
DUPLEX;60H-2;19,050;11,91;12,57;5,94;55,30;57,10;18,00;3,25;26,11;63,60;84,50;3,71
DUPLEX;80H-2;25,400;15,88;15,75;7,92;68,80;70,30;24,00;4,00;32,59;113,40;145,30;6,15
DUPLEX;100H-2;31,750;19,05;18,90;9,53;82,70;86,00;30,00;4,80;39,09;177,00;225,90;9,03
DUPLEX;120H-2;38,100;22,23;25,22;11,10;102,40;106,40;35,70;5,60;48,87;254,00;322,70;13,13
DUPLEX;140H-2;44,450;25,40;25,22;12,70;109,80;114,40;41,00;6,40;52,20;344,80;437,70;16,60
DUPLEX;160H-2;50,800;28,58;31,55;14,27;130,10;134,90;47,80;7,20;61,90;453,60;571,60;20,20
DUPLEX;200H-2;63,500;39,68;37,85;19,85;164,90;171,80;60,00;9,50;78,31;707,60;894,90;38,11
TRIPLEX;60H-3;19,050;11,91;12,57;5,94;81,40;83,20;18,00;3,25;26,11;95,40;113,90;5,54
TRIPLEX;80H-3;25,400;15,88;15,75;7,92;101,40;102,90;24,00;4,00;32,59;170,10;203,50;9,42
TRIPLEX;100H-3;31,750;19,05;18,90;9,53;121,80;125,10;30,00;4,80;39,09;265,50;314,80;12,96
TRIPLEX;120H-3;38,100;22,23;25,22;11,10;151,20;155,20;35,70;5,60;48,87;381,00;444,70;19,64
TRIPLEX;140H-3;44,450;25,40;25,22;12,70;162,00;166,60;41,00;6,40;52,20;517,20;598,40;24,90
TRIPLEX;160H-3;50,800;28,58;31,55;14,27;192,00;196,80;47,80;7,20;61,90;680,40;787,30;30,10
TRIPLEX;200H-3;63,500;39,68;37,85;19,85;243,20;250,10;60,00;9,50;78,31;1061,40;1228,20;57,06
