Perfil;Codigo;Longitud Li
Z;Z 16;410
Z;Z 18;460
Z;Z 19;480
Z;Z 19 1/2;500
Z;Z 20;508
Z;Z 20 1/2;520
Z;Z 21;530
Z;Z 21 1/4;540
Z;Z 21 1/2;545
Z;Z 21 3/4;555
Z;Z 22;560
Z;Z 22 1/4;565
Z;Z 22 1/2;575
Z;Z 23;585
Z;Z 23 1/2;600
Z;Z 23 3/4;605
Z;Z 24;610
Z;Z 24 3/4;630
Z;Z 25;635
Z;Z 25 1/2;650
Z;Z 26;660
Z;Z 26 1/2;670
Z;Z 27;685
Z;Z 27 1/2;700
Z;Z 28;710
Z;Z 28 1/2;725
Z;Z 29;735
Z;Z 29 1/2;750
Z;Z 30;765
Z;Z 30 1/2;775
Z;Z 30 3/4;785
Z;Z 31;787
Z;Z 31 1/2;800
Z;Z 32;815
Z;Z 32 1/2;825
Z;Z 33;840
Z;Z 33 1/2;850
Z;Z 34;865
Z;Z 34 1/2;875
Z;Z 34 1/4;870
Z;Z 35;890
Z;Z 35 1/2;900
Z;Z 36;915
Z;Z 36 1/2;925
Z;Z 36 3/4;935
Z;Z 37;945
Z;Z 37 1/2;950
Z;Z 38;965
Z;Z 38 1/4;975
Z;Z 38 1/2;978
Z;Z 39;1000
Z;Z 40;1016
Z;Z 40 1/2;1030
Z;Z 41;1040
Z;Z 41 1/2;1050
Z;Z 41 3/4;1060
Z;Z 42;1070
Z;Z 42 1/2;1080
Z;Z 43;1090
Z;Z 43 1/4;1100
Z;Z 44;1120
Z;Z 45;1145
Z;Z 46;1180
Z;Z 47;1194
Z;Z 47 3/4;1215
Z;Z 48;1225
Z;Z 48 1/2;1232
Z;Z 49;1245
Z;Z 50;1270
Z;Z 50 1/2;1285
Z;Z 51;1300
Z;Z 52;1320
Z;Z 53;1345
Z;Z 54;1371
Z;Z 55;1400
Z;Z 56;1422
Z;Z 57;1450
Z;Z 58;1473
Z;Z 59;1500
Z;Z 59 1/2;1515
Z;Z 60;1525
Z;Z 61;1550
Z;Z 62;1575
Z;Z 63;1600
Z;Z 64;1625
Z;Z 65;1651
Z;Z 66;1675
Z;Z 67;1700
Z;Z 68;1727
Z;Z 68 1/2;1740
Z;Z 69;1750
Z;Z 70;1778
Z;Z 71;1803
Z;Z 73;1855
Z;Z 75;1905
Z;Z 78;1982
Z;Z 79;2007
Z;Z 83 1/2;2100
Z;Z 88;2235
Z;Z 93;2360
Z;Z 98;2489
A;A21GL;533
A;A22GL;559
A;A23GL;584
A;A24GL;610
A;A25GL;635
A;A26GL;660
A;A27GL;686
A;A28GL;711
A;A29GL;737
A;A30GL;762
A;A31GL;787
A;A32GL;813
A;A33GL;838
A;A33.5GL;851
A;A34GL;864
A;A35GL;889
A;A36GL;914
A;A37GL;940
A;A38GL;965
A;A38.5GL;978
A;A39GL;991
A;A40GL;1016
A;A41GL;1041
A;A42GL;1067
A;A43GL;1092
A;A44GL;1118
A;A45GL;1143
A;A45.5GL;1156
A;A46GL;1168
A;A47GL;1194
A;A48GL;1219
A;A49GL;1245
A;A50GL;1270
A;A51GL;1295
A;A52GL;1321
A;A53GL;1346
A;A54GL;1372
A;A55GL;1397
A;A56GL;1422
A;A57GL;1448
A;A58GL;1473
A;A59GL;1499
A;A60GL;1524
A;A61GL;1549
A;A62GL;1575
A;A63GL;1600
A;A64GL;1626
A;A65GL;1651
A;A66GL;1676
A;A67GL;1702
A;A68GL;1727
A;A69GL;1753
A;A70GL;1778
A;A71GL;1803
A;A72GL;1829
A;A73GL;1854
A;A73.5GL;1867
A;A74GL;1880
A;A75GL;1905
A;A76GL;1930
A;A77GL;1956
A;A77.5GL;1969
A;A78GL;1981
A;A79GL;2007
A;A80GL;2032
A;A81GL;2057
A;A82GL;2083
A;A83GL;2108
A;A84GL;2134
A;A85GL;2159
A;A86GL;2184
A;A86.5;2197
A;A87GL;2210
A;A88GL;2235
A;A89GL;2261
A;A90GL;2286
A;A91GL;2311
A;A91.5GL;2324
A;A92GL;2337
A;A93GL;2362
A;A94GL;2388
A;A95GL;2413
A;A96GL;2438
A;A96.5GL;2451
A;A97GL;2464
A;A98GL;2489
A;A99GL;2515
A;A100GL;2540
A;A101GL;2565
A;A102GL;2591
A;A103GL;2616
A;A104GL;2642
A;A105GL;2667
A;A106GL;2692
A;A107GL;2718
A;A108GL;2743
A;A109GL;2769
A;A110GL;2794
A;A112GL;2845
A;A113GL;2870
A;A114GL;2896
A;A115GL;2921
A;A116GL;2946
A;A117GL;2972
A;A118GL;2997
A;A120GL;3048
A;A123GL;3124
A;A124GL;3150
A;A125GL;3175
A;A126GL;3200
A;A127GL;3226
A;A128GL;3251
A;A130GL;3302
A;A132GL;3353
A;A133GL;3378
A;A134GL;3404
A;A136GL;3454
A;A137GL;3480
A;A140GL;3556
A;A144GL;3658
A;A148GL;3759
A;A150GL;3810
A;A152GL;3861
A;A155GL;3937
A;A156GL;3962
A;A158GL;4013
A;A160GL;4064
A;A162GL;4115
A;A165GL;4191
A;A166GL;4216
A;A167GL;4242
A;A173GL;4394
A;A177GL;4496
A;A180GL;4572
A;A187GL;4750
A;A197GL;5004
A;A236.5GL;6007
B;B22.5GL;572
B;B23GL;584
B;B24GL;610
B;B25GL;635
B;B26GL;660
B;B27GL;686
B;B28GL;711
B;B29GL;737
B;B30GL;762
B;B31GL;787
B;B32GL;813
B;B32.5GL;826
B;B33GL;838
B;B33.5GL;851
B;B34GL;864
B;B34.5GL;876
B;B35GL;889
B;B35.5GL;902
B;B36GL;914
B;B36.5GL;927
B;B37GL;940
B;B37.5GL;953
B;B38GL;965
B;B38.5GL;978
B;B39GL;991
B;B39.5GL;1003
B;B40GL;1016
B;B40.5GL;1029
B;B41GL;1041
B;B42GL;1067
B;B42.5GL;1080
B;B43GL;1092
B;B43.5GL;1105
B;B44GL;1118
B;B45GL;1143
B;B45.5GL;1156
B;B46GL;1168
B;B46.5GL;1181
B;B47GL;1194
B;B48GL;1219
B;B49GL;1245
B;B50GL;1270
B;B51GL;1295
B;B52GL;1321
B;B53GL;1346
B;B54GL;1372
B;B55GL;1397
B;B56GL;1422
B;B57GL;1448
B;B58GL;1473
B;B59GL;1499
B;B60GL;1524
B;B61GL;1549
B;B62GL;1575
B;B63GL;1600
B;B64GL;1626
B;B65GL;1651
B;B66GL;1676
B;B67GL;1702
B;B68GL;1727
B;B69GL;1753
B;B69.5GL;1765
B;B70GL;1778
B;B71GL;1803
B;B72GL;1829
B;B73GL;1854
B;B74GL;1880
B;B75GL;1905
B;B76GL;1930
B;B77GL;1956
B;B78GL;1981
B;B79GL;2007
B;B80GL;2032
B;B81GL;2057
B;B82GL;2083
B;B83GL;2108
B;B84GL;2134
B;B85GL;2159
B;B86GL;2184
B;B86.5GL;2197
B;B87GL;2210
B;B88GL;2235
B;B88.5GL;2248
B;B89GL;2261
B;B90GL;2286
B;B91GL;2311
B;B92GL;2337
B;B93GL;2362
B;B94GL;2388
B;B94.5GL;2400
B;B95GL;2413
B;B96GL;2438
B;B97GL;2464
B;B98GL;2489
B;B99GL;2515
B;B100GL;2540
B;B101GL;2565
B;B102GL;2591
B;B103GL;2616
B;B104GL;2642
B;B105GL;2667
B;B106GL;2692
B;B107GL;2718
B;B108GL;2743
B;B109GL;2769
B;B110GL;2794
B;B111GL;2819
B;B112GL;2845
B;B113GL;2870
B;B114GL;2896
B;B115GL;2921
B;B116GL;2946
B;B116.5GL;2959
B;B117GL;2972
B;B118GL;2997
B;B119GL;3023
B;B120GL;3048
B;B121GL;3073
B;B122GL;3099
B;B123GL;3124
B;B124GL;3150
B;B125GL;3175
B;B126GL;3200
B;B127GL;3226
B;B128GL;3251
B;B130GL;3302
B;B131GL;3327
B;B132GL;3353
B;B133GL;3378
B;B134GL;3404
B;B135GL;3429
B;B136GL;3454
B;B137GL;3480
B;B138GL;3505
B;B139GL;3531
B;B140GL;3556
B;B141GL;3581
B;B142GL;3607
B;B143GL;3632
B;B144GL;3658
B;B145GL;3683
B;B146GL;3708
B;B147GL;3734
B;B148GL;3759
B;B149GL;3785
B;B150GL;3810
B;B151GL;3835
B;B152GL;3861
B;B153GL;3886
B;B154GL;3912
B;B155GL;3937
B;B156GL;3962
B;B157GL;3988
B;B158GL;4013
B;B159GL;4039
B;B160GL;4064
B;B162GL;4115
B;B163GL;4140
B;B164GL;4166
B;B165GL;4191
B;B166GL;4216
B;B167GL;4242
B;B168GL;4267
B;B170GL;4318
B;B172GL;4369
B;B173GL;4394
B;B174GL;4420
B;B175GL;4445
B;B177GL;4496
B;B178GL;4521
B;B180GL;4572
B;B182GL;4623
B;B184GL;4674
B;B185GL;4699
B;B187GL;4750
B;B188GL;4775
B;B190GL;4826
B;B191GL;4851
B;B192GL;4877
B;B195GL;4953
B;B197GL;5004
B;B198GL;5029
B;B199GL;5055
B;B200GL;5080
B;B204GL;5182
B;B205GL;5207
B;B208GL;5283
B;B210GL;5334
B;B215GL;5461
B;B220GL;5588
B;B223GL;5664
B;B225GL;5715
B;B228GL;5791
B;B229GL;5817
B;B235GL;5969
B;B236GL;5994
B;B238GL;6045
B;B240GL;6096
B;B248GL;6299
B;B249GL;6325
B;B253GL;6426
B;B255GL;6477
B;B256GL;6502
B;B270GL;6858
B;B275GL;6985
B;B276GL;7010
B;B280GL;7112
B;B285GL;7239
B;B292GL;7417
B;B300GL;7620
B;B315GL;8001
B;B330GL;8382
B;B345GL;8763
B;B355GL;9017
B;B360GL;9144
C;C43GL;1092
C;C46GL;1168
C;C47GL;1194
C;C48GL;1219
C;C49GL;1245
C;C50GL;1270
C;C51GL;1295
