Perfil;RPM;60;63;67;71;75;80;85;90;95;100;106;112;118;125;132;140;150;160;170;180;190;200;212;220;224;236;250;265;280;300;315;335;355;375;400;425;450;500;560;630;710;800;900;1000;1120;1250
Z;100;0.10;0.10;0.12;0.13;0.14;0.15;0.17;0.18;0.20;0.21;0.23;0.25;0.26;0.28;0.30;0.32;0.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;200;0.17;0.19;0.21;0.23;0.25;0.28;0.31;0.34;0.36;0.39;0.42;0.45;0.49;0.52;0.56;0.60;0.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;500;0.36;0.40;0.45;0.50;0.56;0.62;0.68;0.74;0.81;0.87;0.94;1.01;1.09;1.17;1.25;1.35;1.47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;700;0.48;0.53;0.60;0.67;0.74;0.82;0.91;0.99;1.07;1.16;1.26;1.36;1.45;1.57;1.68;1.81;1.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;900;0.58;0.65;0.73;0.82;0.91;1.01;1.12;1.22;1.33;1.43;1.56;1.68;1.80;1.94;2.09;2.25;2.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1000;0.63;0.70;0.80;0.89;0.99;1.10;1.22;1.34;1.45;1.57;1.70;1.84;1.97;2.13;2.28;2.46;2.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1400;0.81;0.91;1.04;1.17;1.29;1.45;1.61;1.76;1.92;2.07;2.25;2.43;2.61;2.82;3.02;3.25;3.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1500;0.85;0.96;1.10;1.23;1.37;1.53;1.70;1.86;2.03;2.19;2.38;2.57;2.76;2.98;3.20;3.44;3.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1700;0.94;1.05;1.21;1.36;1.51;1.69;1.88;2.06;2.24;2.42;2.64;2.85;3.06;3.30;3.54;3.80;4.13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z;1800;0.98;1.10;1.26;1.42;1.58;1.77;1.97;2.16;2.35;2.54;2.76;2.98;3.20;3.45;3.70;3.98;4.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
