Perfil;RPM / Ø;56;60;63;67;71;80;85;90;95;100;106;112;118;125;132;140;160;180;200;224;250;265;280;315;335;400;500;560;630;710
XPZ;100;0,1;0,12;0,13;0,14;0,16;0,19;;0,23;;0,27;;0,32;;0,37;0,39;0,43;;;;;;;;;;;;;;
XPZ;200;0,19;0,22;0,24;0,27;0,3;0,37;;0,44;;0,52;;0,61;;0,7;0,75;0,81;;;;;;;;;;;;;;
XPZ;500;0,41;0,48;0,54;0,61;0,68;0,84;;1,02;;1,2;;1,41;;1,64;1,76;1,9;;;;;;;;;;;;;;
XPZ;700;0,55;0,65;0,72;0,82;0,92;1,14;;1,39;;1,63;;1,92;;2,23;2,4;2,58;;;;;;;;;;;;;;
XPZ;900;0,68;0,81;0,9;1,03;1,15;1,43;;1,74;;2,05;;2,41;;2,8;3,01;3,25;;;;;;;;;;;;;;
XPZ;1.000;0,74;0,88;0,99;1,13;1,26;1,57;;1,91;;2,25;;2,65;;3,09;3,32;3,58;;;;;;;;;;;;;;
XPZ;1.400;0,99;1,18;1,32;1,51;1,7;2,12;;2,59;;3,05;;3,59;;4,18;4,49;4,85;;;;;;;;;;;;;;
XPZ;1.500;1,04;1,25;1,4;1,6;1,8;2,25;;2,75;;3,24;;3,82;;4,45;4,78;5,16;;;;;;;;;;;;;;
XPZ;1.700;1,16;1,39;1,56;1,78;2,01;2,52;;3,07;;3,62;;4,27;;4,97;5,34;5,76;;;;;;;;;;;;;;
XPZ;1.800;1,21;1,45;1,64;1,87;2,11;2,64;;3,23;;3,81;;4,49;;5,22;5,61;6,05;;;;;;;;;;;;;;
XPZ;2.500;1,58;1,91;2,15;2,47;2,79;3,51;;4,29;;5,06;;5,97;;6,93;7,43;8;;;;;;;;;;;;;;
XPZ;2.900;1,78;2,15;2,43;2,8;3,16;3,97;;4,86;;5,73;;6,75;;7,82;8,39;9,02;;;;;;;;;;;;;;
XPZ;3.000;1,82;2,21;2,49;2,87;3,25;4,09;;5;;5,89;;6,94;;8,04;8,62;9,26;;;;;;;;;;;;;;
XPZ;3.500;2,05;2,49;2,82;3,25;3,68;4,63;;5,67;;6,67;;7,84;;9,06;9,69;10,39;;;;;;;;;;;;;;
XPZ;3.600;2,09;2,55;2,88;3,32;3,76;4,74;;5,79;;6,82;;8,01;;9,25;9,89;10,6;;;;;;;;;;;;;;
XPZ;4.000;2,26;2,76;3,12;3,61;4,09;5,15;;6,29;;7,39;;8,67;;9,97;10,65;;;;;;;;;;;;;;;
XPZ;4.500;2,46;3;3,41;3,94;4,46;5,62;;6,86;;8,05;;9,41;;10,78;11,47*;;;;;;;;;;;;;;;
XPZ;5.000;2,64;3,23;3,67;4,25;4,81;6,06;;7,39;;8,64;;10,06;;11,46*;12,15*;;;;;;;;;;;;;;;
XPA;100;;;;;;0,25;0,28;0,31;0,34;0,37;0,41;0,45;;0,53;;0,63;0,75;0,87;1;;;;;;;;;;;
XPA;200;;;;;;0,45;0,51;0,58;0,64;0,7;0,77;0,85;;1;;1,18;1,42;1,66;1,9;;;;;;;;;;;
XPA;500;;;;;;1;1,15;1,29;1,44;1,58;1,76;1,93;;2,3;;2,73;3,29;3,85;4,4;;;;;;;;;;;
XPA;700;;;;;;1,33;1,53;1,73;1,93;2,13;2,37;2,6;;3,11;;3,69;4,46;5,23;5,98;;;;;;;;;;;
XPA;900;;;;;;1,65;1,9;2,15;2,4;2,65;2,95;3,25;;3,89;;4,63;5,6;6,55;7,5;;;;;;;;;;;
XPA;1.000;;;;;;1,8;2,08;2,35;2,63;2,91;3,24;3,57;;4,28;;5,08;6,15;7,2;8,24;;;;;;;;;;;
XPA;1.400;;;;;;2,37;2,76;3,13;3,51;3,89;4,34;4,79;;5,75;;6,84;8,28;9,7;11,09;;;;;;;;;;;
XPA;1.500;;;;;;2,51;2,92;3,32;3,72;4,13;4,6;5,08;;6,1;;7,27;8,8;10,3;11,78;;;;;;;;;;;
XPA;1.700;;;;;;2,78;3,23;3,69;4,14;4,59;5,12;5,66;;6,8;;8,1;9,8;11,47;13,11;;;;;;;;;;;
XPA;1.800;;;;;;2,91;3,39;3,87;4,34;4,82;5,38;5,94;;7,14;;8,51;10,29;12,04;13,75;;;;;;;;;;;
XPA;2.500;;;;;;3,77;4,41;5,05;5,69;6,32;7,07;7,81;;9,4;;11,19;13,51;15,74;17,89;;;;;;;;;;;
XPA;2.900;;;;;;4,21;4,95;5,67;6,39;7,11;7,96;8,8;;10,58;;12,59;15,16;17,61;19,93*;;;;;;;;;;;
XPA;3.000;;;;;;4,32;5,07;5,82;6,56;7,3;8,17;9,03;;10,87;;12,92;15,55;18,04;20,40*;;;;;;;;;;;
XPA;3.500;;;;;;4,82;5,68;6,53;7,37;8,2;9,19;10,16;;12,21;;14,48;17,35;20,02*;;;;;;;;;;;;
XPA;3.600;;;;;;4,92;5,8;6,67;7,53;8,38;9,38;10,37;;12,46;;14,77;17,68*;20,37*;;;;;;;;;;;;
XPA;4.000;;;;;;5,28;6,24;7,18;8,11;9,03;10,11;11,18;;13,41;;15,86;18,89*;;;;;;;;;;;;;
XPA;4.500;;;;;;5,69;6,73;7,76;8,78;9,77;10,94;12,09;;14,46;;17,03*;;;;;;;;;;;;;;
XPA;5.000;;;;;;6,04;7,17;8,28;9,36;10,42;11,67;12,87;;15,36*;;;;;;;;;;;;;;;;
XPB;100;;;;;;;;;;;;0,57;0,63;0,7;0,77;0,85;1,06;1,26;1,46;1,7;1,95;2,1;2,25;;;;;;;
XPB;200;;;;;;;;;;;;1,04;1,16;1,3;1,44;1,6;1,99;2,37;2,76;3,22;3,71;3,99;4,27;;;;;;;
XPB;500;;;;;;;;;;;;2,32;2,6;2,93;3,25;3,63;4,55;5,46;6,37;7,44;8,6;9,27;9,93;;;;;;;
XPB;700;;;;;;;;;;;;3,1;3,48;3,93;4,38;4,88;6,14;7,39;8,63;10,09;11,67;12,57;13,47;;;;;;;
XPB;900;;;;;;;;;;;;3,84;4,32;4,89;5,45;6,09;7,68;9,24;10,8;12,64;14,61;15,74;16,85;;;;;;;
XPB;1.000;;;;;;;;;;;;4,19;4,73;5,35;5,97;6,67;8,42;10,15;11,85;13,88;16,04;17,27;18,49;;;;;;;
XPB;1.400;;;;;;;;;;;;5,54;6,27;7,12;7,96;8,91;11,28;13,6;15,89;18,59;21,45;23,07;24,66;;;;;;;
XPB;1.500;;;;;;;;;;;;5,86;6,64;7,54;8,43;9,45;11,96;14,43;16,85;19,7;22,72;24,42;26,1;;;;;;;
XPB;1.700;;;;;;;;;;;;6,48;7,35;8,36;9,36;10,49;13,29;16,03;18,72;21,86;25,17;27,03;28,85;;;;;;;
XPB;1.800;;;;;;;;;;;;6,79;7,7;8,76;9,81;11;13,93;16,81;19,62;22,9;26,34;28,27;30,16;;;;;;;
XPB;2.500;;;;;;;;;;;;8,73;9,94;11,34;12,73;14,29;18,11;21,79;25,33;29,37;33,48*;35,72*;;;;;;;;
XPB;2.900;;;;;;;;;;;;9,71;11,08;12,65;14,21;15,95;20,19;24,23;28,06*;32,36*;;;;;;;;;;
XPB;3.000;;;;;;;;;;;;9,94;11,35;12,96;14,55;16,34;20,68;24,79;28,68*;;;;;;;;;;;
XPB;3.500;;;;;;;;;;;;11;12,57;14,37;16,14;18,12;22,86;27,28*;;;;;;;;;;;;
XPB;3.600;;;;;;;;;;;;11,19;12,79;14,63;16,43;18,45;23,25*;27,71*;;;;;;;;;;;;
XPB;4.000;;;;;;;;;;;;11,88;13,6;15,57;17,48;19,61;24,63*;;;;;;;;;;;;;
XPB;4.500;;;;;;;;;;;;12,59;14,43;16,52;18,54*;20,77*;;;;;;;;;;;;;;
XPB;5.000;;;;;;;;;;;;13,1;15,04*;17,22*;19,31*;;;;;;;;;;;;;;;
XPC;100;;;;;;;;;;;;;;;;;;1,47;1,76;2,1;2,47;;2,9;3,4;3,68;4,6;6,01;6,86;7,83;8,95
XPC;200;;;;;;;;;;;;;;;;;;2,86;3,43;4,1;4,84;;5,68;6,66;7,22;9,02;11,79;13,43;15,35;17,52
XPC;300;;;;;;;;;;;;;;;;;;4,22;5,06;6,07;7,15;;8,4;9,85;10,68;13,35;17,43;19,85;22,66;25,83
XPC;400;;;;;;;;;;;;;;;;;;5,56;6,67;8;9,43;;11,08;12,99;14,08;17,6;22,94;26,1;29,74;33,84
XPC;500;;;;;;;;;;;;;;;;;;6,88;8,25;9,9;11,68;;13,72;16,08;17,43;21,76;28,31;32,16;36,57;41,5
XPC;600;;;;;;;;;;;;;;;;;;8,18;9,82;11,78;13,9;;16,32;19,12;20,72;25,83;33,51;38;43,1;48,75
XPC;700;;;;;;;;;;;;;;;;;;9,46;11,36;13,64;16,08;;18,88;22,11;23,94;29,8;38,54;43,59;49,29;55,51
XPC;900;;;;;;;;;;;;;;;;;;11,98;14,39;17,26;20,34;;23,85;27,89;30,17;37,4;47,96;53,91;60,45;67,32
XPC;1.000;;;;;;;;;;;;;;;;;;13,22;15,87;19,03;22,42;;26,27;30,68;33,17;41,01;52,3;58,57;65,32;
XPC;1.400;;;;;;;;;;;;;;;;;;17,97;21,56;25,8;30,3;;35,35;41,05;44,2;53,86;;;;
XPC;1.500;;;;;;;;;;;;;;;;;;19,11;22,92;27,4;32,15;;37,46;43,41;46,69;56,62;;;;
XPC;1.700;;;;;;;;;;;;;;;;;;21,32;25,54;30,49;35,68;;41,44;47,62;51,28;;;;;
XPC;1.800;;;;;;;;;;;;;;;;;;22,39;26,81;31,97;37,36;;43,32;49,85;53,37;;;;;
XPC;2.000;;;;;;;;;;;;;;;;;;24,45;29,23;34,78;40,53;;46,8;53,55;;;;;;
XPC;2.500;;;;;;;;;;;;;;;;;;29,12;34,65;40,91;47,2;;;;;;;;;
XPC;2.900;;;;;;;;;;;;;;;;;;32,28;38,19;44,73;;;;;;;;;;
XPC;3.000;;;;;;;;;;;;;;;;;;32,98;38,96;;;;;;;;;;;
XPC;3.500;;;;;;;;;;;;;;;;;;35,89;;;;;;;;;;;;
