Perfil;RPM;60;63;67;71;75;80;85;90;95;100;106;112;118;125;132;140;150;160;170;180;190;200;212;220;225;236;250;265;280;300;315;335;355;375;400;425;475;530;600;670;750;800;900;1000;1120;1250
3V;100;;0,10;;0,13;;0,16;;0,20;;0,24;;0,28;;0,33;;0,38;0,41;0,45;0,48;0,52;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;200;;0,18;;0,24;;0,30;;0,37;;0,44;;0,52;;0,61;;0,71;0,78;0,85;0,91;0,98;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;500;;0,39;;0,52;;0,67;;0,83;;0,99;;1,19;;1,39;;1,63;1,79;1,94;2,10;2,25;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;700;;0,51;;0,69;;0,89;;1,11;;1,34;;1,60;;1,88;;2,20;2,42;2,63;2,84;3,05;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;900;;0,62;;0,85;;1,10;;1,38;;1,66;;1,99;;2,35;;2,75;3,02;3,28;3,55;3,81;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;1000;;0,67;;0,92;;1,20;;1,51;;1,82;;2,18;;2,57;;3,02;3,31;3,60;3,89;4,17;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;1400;;0,87;;1,21;;1,59;;2,01;;2,42;;2,92;;3,44;;4,03;4,43;4,81;5,19;5,57;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;1500;;0,91;;1,28;;1,68;;2,13;;2,57;;3,09;;3,65;;4,28;4,69;5,10;5,50;5,90;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;1700;;1,00;;1,41;;1,86;;2,36;;2,85;;3,43;;4,05;;4,75;5,21;5,66;6,10;6,54;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;1800;;1,04;;1,47;;1,95;;2,47;;2,99;;3,60;;4,25;;4,98;5,46;5,93;6,39;6,84;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;2500;;1,31;;1,88;;2,52;;3,21;;3,89;;4,68;;5,52;;6,45;7,05;7,63;8,19;8,74;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;2900;;1,44;;2,09;;2,81;;3,59;;4,35;;5,23;;6,16;;7,17;7,82;8,44;9,04;9,60;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;3000;;1,47;;2,14;;2,88;;3,68;;4,46;;5,36;;6,31;;7,34;8,00;8,63;9,22;9,79;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;3400;;1,58;;2,32;;3,14;;4,02;;4,87;;5,85;;6,86;;7,95;8,63;9,27;9,87;10,43*;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;3600;;1,63;;2,41;;3,26;;4,18;;5,06;;6,07;;7,11;;8,22;8,90;9,54;10,13*;10,68*;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;4000;;1,72;;2,57;;3,49;;4,47;;5,41;;6,47;;7,55;;8,67;9,35*;9,97*;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;5000;;1,88;;2,87;;3,93;;5,04;;6,07;;7,19;;8,26*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3V;6000;;1,94;;3,03;;4,18;;5,35;;6,39*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5V;100;;;;;;;;;;;;;;;;0,66;0,75;0,85;0,94;1,04;;1,22;;;1,45;;1,69;;1,96;;2,28;;2,64;;3,04;;;;;;;;;;;
5V;200;;;;;;;;;;;;;;;;1,20;1,38;1,56;1,74;1,92;;2,28;;;2,7;;3,16;;3,68;;4,29;;4,97;;5,74;;;;;;;;;;;
5V;500;;;;;;;;;;;;;;;;2,80;3,02;3,45;3,87;4,29;;5,12;;;6,11;;7,16;;8,37;;9,76;;11,33;;13,06;;;;;;;;;;;
5V;700;;;;;;;;;;;;;;;;3,43;4;4,58;5,15;5,72;;6,85;;;8,18;;9,61;;11,23;;13,08;;15,16;;17,43;;;;;;;;;;;
5V;900;;;;;;;;;;;;;;;;4,19;4,92;5,64;6,35;7,06;;8,47;;;10,13;;11,89;;13,88;;16,15;;18,66;;21,38;;;;;;;;;;;
5V;1000;;;;;;;;;;;;;;;;4,56;5,35;6,14;6,93;7,71;;9,24;;;11,05;;12,98;;15,14;;17,59;;20,29;;23,18;;;;;;;;;;;
5V;1400;;;;;;;;;;;;;;;;5,88;6,95;8;9,04;10,07;;12,09;;;14,44;;16,9;;19,62;;22,62;;25,81;;29,05;;;;;;;;;;;
5V;1500;;;;;;;;;;;;;;;;6,19;7,31;8,43;9,53;10,61;;12,73;;;15,2;;17,77;;20,6;;23,68;;26,92;;30,14*;;;;;;;;;;;
5V;1700;;;;;;;;;;;;;;;;6,75;8;9,23;10,44;11,63;;13,95;;;16,62;;19,38;;22,36;;25,54;;28,77*;;;;;;;;;;;;;
5V;1800;;;;;;;;;;;;;;;;7,02;8,32;9,6;10,86;12,1;;14,51;;;17,27;;20,1;;23,13;;26,33;;29,49*;;;;;;;;;;;;;
5V;2000;;;;;;;;;;;;;;;;7,51;8,92;10,3;11,66;12,98;;15,55;;;18,46;;21,39;;24,47;;27,60*;;;;;;;;;;;;;;;
5V;2500;;;;;;;;;;;;;;;;8,51;10,14;11,73;13,27;14,76;;17,58;;;20,65;;23,58*;;;;;;;;;;;;;;;;;;;
5V;2900;;;;;;;;;;;;;;;;9,05;10,82;12,52;14,14;15,69;;18,55*;;;21,52*;;;;;;;;;;;;;;;;;;;;;
5V;3000;;;;;;;;;;;;;;;;9,15;10,94;12,66;14,3;15,85;;18,69*;;;;;;;;;;;;;;;;;;;;;;;;
5V;3500;;;;;;;;;;;;;;;;9,40;11,27;13,02;14,65*;16,16*;;;;;;;;;;;;;;;;;;;;;;;;;;
5V;3600;;;;;;;;;;;;;;;;9,40;11,27;13,02;14,64*;16,12*;;;;;;;;;;;;;;;;;;;;;;;;;;
5V;4000;;;;;;;;;;;;;;;;9,21;11,06*;12,75*;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5V;4600;;;;;;;;;;;;;;;;8,33*;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8V;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,36;2,62;2,89;3,15;3,48;3,8;4,45;5,16;6,06;6,95;7,96;8,58;;;;
8V;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,35;4,86;5,36;5,87;6,49;7,12;8,36;9,71;11,42;13,11;15,03;16,22;;;;
8V;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,21;6,95;7,68;8,42;9,33;10,24;12,04;14,01;16,49;18,95;21,73;23,45;;;;
8V;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,97;8,93;9,89;10,85;12,04;13,22;15,58;18,14;21,36;24,55;28,15;30,37;;;;
8V;300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,28;12,68;14,07;15,46;17,18;18,89;22,29;25,97;30,59;35,13;40,23;43,36;;;;
8V;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,37;16,19;17,99;19,79;22,01;24,22;28,58;33,3;39,18;44,93;51,32;55,21;;;;
8V;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,28;19,49;21,68;23,86;26,56;29,23;34,48;40,14;47,14;53,9;61,33;65,79;;;;
8V;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,01;22,59;25,15;27,69;30,82;33,92;39,99;46,47;54,4;61,97;70,13;74,95;;;;
8V;750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,77;26,88;29,94;32,97;36,69;40,34;47,44;54,9;63,86;72,15;80,74;85,59*;;;;
8V;900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,15;30,71;34,21;37,65;41,86;45,96;53,83;61,94;71,36;79,69;;;;;;
8V;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,17;33;36,75;40,43;44,89;49,22;57,44;65,76;75,14;;;;;;;
8V;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32,61;36,89;41,03;45,05;49,87;54,47;62,93;71,05;;;;;;;;
8V;1400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,2;39,77;44,14;48,31;53,23;57,80*;65,83;;;;;;;;;
8V;1500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,15;40,8;45,22;49,39;54,24*;58,68*;;;;;;;;;;
8V;1700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,29;41,97;46,32*;50,32*;;;;;;;;;;;;
8V;1800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,45;42,07*;46,31*;;;;;;;;;;;;;
8V;1900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,34*;41,84*;;;;;;;;;;;;;;
8V;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36,93*;;;;;;;;;;;;;;;
