Perfil;RPM / Ø;56;60;63;67;71;80;85;90;95;100;106;112;118;125;132;140;160;180;200;224;250;265;280;315;335;400;500;560;630;710
3VX;100;0,1;0,12;0,13;0,14;0,16;0,19;;0,23;;0,27;;0,32;;0,37;0,39;0,43;;;;;;;;;;;;;;
3VX;200;0,19;0,22;0,24;0,27;0,3;0,37;;0,44;;0,52;;0,61;;0,7;0,75;0,81;;;;;;;;;;;;;;
3VX;500;0,41;0,48;0,54;0,61;0,68;0,84;;1,02;;1,2;;1,41;;1,64;1,76;1,9;;;;;;;;;;;;;;
3VX;700;0,55;0,65;0,72;0,82;0,92;1,14;;1,39;;1,63;;1,92;;2,23;2,4;2,58;;;;;;;;;;;;;;
3VX;900;0,68;0,81;0,9;1,03;1,15;1,43;;1,74;;2,05;;2,41;;2,8;3,01;3,25;;;;;;;;;;;;;;
3VX;1.000;0,74;0,88;0,99;1,13;1,26;1,57;;1,91;;2,25;;2,65;;3,09;3,32;3,58;;;;;;;;;;;;;;
3VX;1.400;0,99;1,18;1,32;1,51;1,7;2,12;;2,59;;3,05;;3,59;;4,18;4,49;4,85;;;;;;;;;;;;;;
3VX;1.500;1,04;1,25;1,4;1,6;1,8;2,25;;2,75;;3,24;;3,82;;4,45;4,78;5,16;;;;;;;;;;;;;;
3VX;1.700;1,16;1,39;1,56;1,78;2,01;2,52;;3,07;;3,62;;4,27;;4,97;5,34;5,76;;;;;;;;;;;;;;
3VX;1.800;1,21;1,45;1,64;1,87;2,11;2,64;;3,23;;3,81;;4,49;;5,22;5,61;6,05;;;;;;;;;;;;;;
3VX;2.500;1,58;1,91;2,15;2,47;2,79;3,51;;4,29;;5,06;;5,97;;6,93;7,43;8;;;;;;;;;;;;;;
3VX;2.900;1,78;2,15;2,43;2,8;3,16;3,97;;4,86;;5,73;;6,75;;7,82;8,39;9,02;;;;;;;;;;;;;;
3VX;3.000;1,82;2,21;2,49;2,87;3,25;4,09;;5;;5,89;;6,94;;8,04;8,62;9,26;;;;;;;;;;;;;;
3VX;3.500;2,05;2,49;2,82;3,25;3,68;4,63;;5,67;;6,67;;7,84;;9,06;9,69;10,39;;;;;;;;;;;;;;
3VX;3.600;2,09;2,55;2,88;3,32;3,76;4,74;;5,79;;6,82;;8,01;;9,25;9,89;10,6;;;;;;;;;;;;;;
3VX;4.000;2,26;2,76;3,12;3,61;4,09;5,15;;6,29;;7,39;;8,67;;9,97;10,65;;;;;;;;;;;;;;;
3VX;4.500;2,46;3;3,41;3,94;4,46;5,62;;6,86;;8,05;;9,41;;10,78;11,47*;;;;;;;;;;;;;;;
3VX;5.000;2,64;3,23;3,67;4,25;4,81;6,06;;7,39;;8,64;;10,06;;11,46*;12,15*;;;;;;;;;;;;;;;
5VX;100;;;;;;;;;;;;0,57;0,63;0,7;0,77;0,85;1,06;1,26;1,46;1,7;1,95;2,1;2,25;;;;;;;
5VX;200;;;;;;;;;;;;1,04;1,16;1,3;1,44;1,6;1,99;2,37;2,76;3,22;3,71;3,99;4,27;;;;;;;
5VX;500;;;;;;;;;;;;2,32;2,6;2,93;3,25;3,63;4,55;5,46;6,37;7,44;8,6;9,27;9,93;;;;;;;
5VX;700;;;;;;;;;;;;3,1;3,48;3,93;4,38;4,88;6,14;7,39;8,63;10,09;11,67;12,57;13,47;;;;;;;
5VX;900;;;;;;;;;;;;3,84;4,32;4,89;5,45;6,09;7,68;9,24;10,8;12,64;14,61;15,74;16,85;;;;;;;
5VX;1.000;;;;;;;;;;;;4,19;4,73;5,35;5,97;6,67;8,42;10,15;11,85;13,88;16,04;17,27;18,49;;;;;;;
5VX;1.400;;;;;;;;;;;;5,54;6,27;7,12;7,96;8,91;11,28;13,6;15,89;18,59;21,45;23,07;24,66;;;;;;;
5VX;1.500;;;;;;;;;;;;5,86;6,64;7,54;8,43;9,45;11,96;14,43;16,85;19,7;22,72;24,42;26,1;;;;;;;
5VX;1.700;;;;;;;;;;;;6,48;7,35;8,36;9,36;10,49;13,29;16,03;18,72;21,86;25,17;27,03;28,85;;;;;;;
5VX;1.800;;;;;;;;;;;;6,79;7,7;8,76;9,81;11;13,93;16,81;19,62;22,9;26,34;28,27;30,16;;;;;;;
5VX;2.500;;;;;;;;;;;;8,73;9,94;11,34;12,73;14,29;18,11;21,79;25,33;29,37;33,48*;35,72*;;;;;;;;
5VX;2.900;;;;;;;;;;;;9,71;11,08;12,65;14,21;15,95;20,19;24,23;28,06*;32,36*;;;;;;;;;;
5VX;3.000;;;;;;;;;;;;9,94;11,35;12,96;14,55;16,34;20,68;24,79;28,68*;;;;;;;;;;;
5VX;3.500;;;;;;;;;;;;11;12,57;14,37;16,14;18,12;22,86;27,28*;;;;;;;;;;;;
5VX;3.600;;;;;;;;;;;;11,19;12,79;14,63;16,43;18,45;23,25*;27,71*;;;;;;;;;;;;
5VX;4.000;;;;;;;;;;;;11,88;13,6;15,57;17,48;19,61;24,63*;;;;;;;;;;;;;
5VX;4.500;;;;;;;;;;;;12,59;14,43;16,52;18,54*;20,77*;;;;;;;;;;;;;;
5VX;5.000;;;;;;;;;;;;13,1;15,04*;17,22*;19,31*;;;;;;;;;;;;;;;
