Perfil;RPM;1.00-1.01;1.02-1.03;1.04-1.06;1.07-1.08;1.09-1.12;1.13-1.16;1.17-1.22;1.23-1.32;1.33-1.50;mas de 1.51
Z;100;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Z;200;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01
Z;500;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.02;0.02;0.02
Z;700;0.00;0.00;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.03
Z;900;0.00;0.00;0.01;0.01;0.01;0.02;0.02;0.03;0.03;0.03
Z;1000;0.00;0.00;0.01;0.02;0.02;0.02;0.03;0.03;0.03;0.04
Z;1400;0.00;0.01;0.01;0.02;0.02;0.03;0.03;0.04;0.05;0.05
Z;1500;0.00;0.01;0.01;0.02;0.02;0.03;0.04;0.04;0.05;0.05
Z;1700;0.00;0.01;0.01;0.02;0.03;0.03;0.04;0.05;0.05;0.06
Z;1800;0.00;0.01;0.01;0.02;0.03;0.04;0.04;0.05;0.06;0.07
Z;2500;0.00;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.08;0.09
Z;2900;0.00;0.01;0.02;0.04;0.05;0.06;0.07;0.08;0.09;0.10
Z;3000;0.00;0.01;0.02;0.04;0.05;0.06;0.07;0.08;0.10;0.11
Z;3500;0.00;0.01;0.03;0.04;0.06;0.07;0.08;0.10;0.11;0.13
Z;3600;0.00;0.02;0.03;0.05;0.06;0.07;0.09;0.10;0.12;0.13
Z;4000;0.00;0.02;0.03;0.05;0.06;0.08;0.10;0.11;0.13;0.14
Z;5000;0.00;0.02;0.04;0.06;0.08;0.10;0.12;0.14;0.16;0.18
Z;6000;0.00;0.02;0.05;0.07;0.10;0.12;0.15;0.17;0.19;0.22
A;100;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01
A;200;0.00;0.00;0.01;0.01;0.01;0.02;0.02;0.02;0.03;0.03
A;500;0.00;0.01;0.01;0.02;0.02;0.03;0.04;0.05;0.06;0.07
A;700;0.00;0.01;0.02;0.03;0.04;0.05;0.06;0.07;0.09;0.10
A;900;0.00;0.01;0.03;0.04;0.06;0.07;0.09;0.10;0.12;0.13
A;1000;0.00;0.02;0.03;0.05;0.07;0.08;0.10;0.11;0.13;0.15
A;1400;0.00;0.02;0.05;0.07;0.09;0.11;0.14;0.16;0.18;0.21
A;1500;0.00;0.02;0.05;0.07;0.10;0.12;0.15;0.17;0.20;0.22
A;1700;0.00;0.03;0.06;0.08;0.11;0.14;0.17;0.20;0.22;0.25
A;1800;0.00;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.26
A;2500;0.00;0.04;0.08;0.12;0.16;0.20;0.25;0.29;0.33;0.37
A;2900;0.00;0.05;0.09;0.14;0.19;0.24;0.29;0.33;0.38;0.43
A;3000;0.00;0.05;0.10;0.15;0.20;24;0.30;0.34;0.39;0.44
A;3500;0.00;0.06;0.11;0.17;0.23;0.29;0.35;0.40;0.46;0.51
A;3600;0.00;0.06;0.12;0.18;0.24;0.29;0.36;0.41;0.47;0.53
A;4000;0.00;0.07;0.13;0.20;0.26;0.33;0.39;0.46;0.52;0.59
A;5000;0.00;0.08;0.16;0.25;0.33;0.41;0.49;0.57;0.65;0.74
B;100;0.00;0.00;0.01;0.01;0.01;0.02;0.02;0.03;0.03;0.03
B;200;0.00;0.01;0.02;0.03;0.04;0.04;0.05;0.06;0.06;0.06
B;500;0.00;0.02;0.04;0.05;0.07;0.09;0.11;0.13;0.14;0.16
B;700;0.00;0.02;0.05;0.08;0.10;0.13;0.15;0.18;0.20;0.23
B;900;0.00;0.03;0.06;0.10;0.13;0.16;0.19;0.23;0.26;0.29
B;1000;0.00;0.04;0.07;0.11;0.14;0.18;0.22;0.25;0.29;0.32
B;1400;0.00;0.05;0.10;0.15;0.20;0.25;0.30;0.35;0.40;0.45
B;1500;0.00;0.05;0.11;0.16;0.21;0.27;0.32;0.38;0.43;0.48
B;1700;0.00;0.06;0.12;0.18;0.24;0.30;0.37;0.43;0.49;0.55
B;1800;0.00;0.06;0.13;0.19;0.26;0.32;0.39;0.45;0.52;0.58
B;2500;0.00;0.09;0.18;0.27;0.36;0.45;0.54;0.63;0.72;0.81
B;2900;0.00;0.10;0.21;0.31;0.42;0.52;0.63;0.73;0.83;0.94
B;3000;0.00;0.11;0.22;0.32;0.43;0.54;0.65;0.76;0.86;0.97
B;3500;0.00;0.12;0.25;0.38;0.50;0.63;0.76;0.88;1.00;1.13
C;100;0.00;0.01;0.02;0.02;0.03;0.04;0.05;0.06;0.06;0.07
C;150;0.00;0.01;0.02;0.03;0.05;0.06;0.07;0.08;0.09;0.10
C;200;0.00;0.02;0.03;0.05;0.06;0.08;0.09;0.11;0.12;0.14
C;400;0.00;0.03;0.06;0.09;0.12;0.15;0.19;0.22;0.25;0.28
C;600;0.00;0.05;0.09;0.14;0.19;0.23;0.28;0.33;0.37;0.42
C;700;0.00;0.05;0.11;0.16;0.22;0.27;0.33;0.38;0.43;0.49
C;750;0.00;0.06;0.12;0.17;0.23;0.29;0.35;0.41;0.46;0.52
C;900;0.00;0.07;0.14;0.21;0.28;0.35;0.42;0.49;0.56;0.63
C;1000;0.00;0.08;0.15;0.23;0.31;0.39;0.47;0.54;0.62;0.69
C;1400;0.00;0.11;0.22;0.33;0.43;0.54;0.65;0.76;0.87;0.97
C;1500;0.00;0.12;0.23;0.35;0.46;0.58;0.70;0.82;0.93;1.04
C;1700;0.00;0.13;0.26;0.39;0.52;0.66;0.79;0.92;1.05;1.18
C;1800;0.00;0.14;0.28;0.42;0.56;0.69;0.84;0.98;1.11;1.25
