Perfil;RPM;1.00/1.01;1.02/1.05;1.06/1.26;1.27/1.57;mas de 1.57
AX;100;0.00;0.00;0.01;0.02;0.02
AX;200;0.00;0.00;0.02;0.03;0.04
AX;500;0.00;0.01;0.05;0.08;0.09
AX;700;0.00;0.01;0.08;0.11;0.13
AX;900;0.00;0.02;0.10;0.14;0.17
AX;1000;0.00;0.02;0.11;0.16;0.19
AX;1400;0.00;0.02;0.15;0.22;0.26
AX;1500;0.00;0.03;0.16;0.23;0.28
AX;1700;0.00;0.03;0.18;0.26;0.32
AX;1800;0.00;0.03;0.20;0.28;0.34
AX;2500;0.00;0.04;0.27;0.39;0.47
AX;2900;0.00;0.05;0.31;0.45;0.55
AX;3000;0.00;0.05;0.33;0.47;0.57
AX;3500;0.00;0.06;0.38;0.54;0.66
AX;3600;0.00;0.06;0.39;0.56;0.68
AX;4000;0.00;0.07;0.43;0.62;0.75
AX;4500;0.00;0.08;0.49;0.70;0.85
AX;5000;0.00;0.08;0.54;0.78;0.94
BX;100;0.00;0.00;0.02;0.03;0.04
BX;200;0.00;0.01;0.05;0.07;0.08
BX;500;0.00;0.02;0.12;0.17;0.20
BX;700;0.00;0.03;0.16;0.24;0.29
BX;900;0.00;0.03;0.21;0.30;0.37
BX;1000;0.00;0.04;0.23;0.34;0.41
BX;1400;0.00;0.05;0.33;0.47;0.57
BX;1500;0.00;0.06;0.35;0.51;0.61
BX;1700;0.00;0.06;0.40;0.57;0.69
BX;1800;0.00;0.07;0.42;0.61;0.73
BX;2500;0.00;0.09;0.59;0.84;1.02
BX;2900;0.00;0.11;0.68;0.98;1.18
BX;3000;0.00;0.11;0.70;1.01;1.22
BX;3500;0.00;0.13;0.82;1.18;1.43
BX;3600;0.00;0.13;0.85;1.21;1.47
BX;4000;0.00;0.15;0.94;1.35;1.63
BX;4500;0.00;0.17;1.06;1.52;1.84
BX;5000;0.00;0.18;1.17;1.69;2.04
CX;100;0.00;0.01;0.03;0.05;0.06
CX;200;0.00;0.01;0.07;0.10;0.12
CX;300;0.00;0.02;0.10;0.15;0.18
CX;400;0.00;0.02;0.14;0.20;0.24
CX;500;0.00;0.03;0.17;0.24;0.30
CX;600;0.00;0.03;0.20;0.29;0.36
CX;700;0.00;0.04;0.24;0.34;0.41
CX;900;0.00;0.05;0.31;0.44;0.53
CX;1000;0.00;0.05;0.34;0.49;0.59
CX;1400;0.00;0.07;0.48;0.68;0.83
CX;1500;0.00;0.08;0.51;0.73;0.89
CX;1700;0.00;0.09;0.58;0.83;1.01
CX;1800;0.00;0.10;0.61;0.88;1.07
CX;2000;0.00;0.11;0.68;0.98;1.18
CX;2500;0.00;0.13;0.85;1.22;1.48
CX;2900;0.00;0.15;0.99;1.42;1.72
CX;3000;0.00;0.16;1.02;1.47;1.78
CX;3500;0.00;0.19;1.19;1.71;2.07
