Perfil;RPM;1.00/1.01;1.02/1.05;1.06/1.11;1.12/1.18;1.19/1.26;1.27/1.38;1.39/1.57;1.58/1.94;1.95/3.38;mas de 3.39
SPZ;100;0.00;0.00;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
SPZ;200;0.00;0.00;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.03
SPZ;500;0.00;0.01;0.01;0.03;0.04;0.04;0.05;0.06;0.06;0.07
SPZ;700;0.00;0.01;0.02;0.04;0.05;0.06;0.07;0.08;0.09;0.09
SPZ;900;0.00;0.01;0.03;0.05;0.06;0.08;0.09;0.10;0.11;0.12
SPZ;1000;0.00;0.01;0.03;0.05;0.07;0.09;0.10;0.11;0.12;0.13
SPZ;1400;0.00;0.02;0.04;0.07;0.10;0.12;0.14;0.16;0.17;0.18
SPZ;1500;0.00;0.02;0.04;0.08;0.11;0.13;0.15;0.17;0.18;0.20
SPZ;1700;0.00;0.02;0.05;0.09;0.12;0.15;0.17;0.19;0.21;0.22
SPZ;1800;0.00;0.02;0.05;0.09;0.13;0.15;0.18;0.20;0.22;0.23
SPZ;2500;0.00;0.03;0.07;0.13;0.18;0.21;0.25;0.28;0.31;0.33
SPZ;2900;0.00;0.03;0.09;0.15;0.21;0.25;0.29;0.33;0.36;0.38
SPZ;3000;0.00;0.03;0.09;0.16;0.21;0.26;0.30;0.34;0.37;0.39
SPZ;3400;0.00;0.04;0.10;0.18;0.24;0.29;0.34;0.38;0.42;0.44
SPZ;3600;0.00;0.04;0.11;0.19;0.25;0.31;0.36;0.41;0.44;0.47
SPZ;4000;0.00;0.04;0.12;0.21;0.28;0.34;0.40;0.45;0.49;0.52
SPZ;5000;0.00;0.05;0.15;0.26;0.35;0.43;0.50;0.56;0.62;0.65
SPA;100;0.00;0.00;0.01;0.01;0.02;0.02;0.02;0.03;0.03;0.03
SPA;200;0.00;0.01;0.01;0.02;0.03;0.04;0.05;0.05;0.06;0.06
SPA;500;0.00;0.01;0.04;0.06;0.08;0.10;0.12;0.13;0.15;0.15
SPA;700;0.00;0.02;0.05;0.09;0.12;0.14;0.17;0.19;0.20;0.22
SPA;900;0.00;0.02;0.06;0.11;0.15;0.18;0.21;0.24;0.26;0.28
SPA;1000;0.00;0.03;0.07;0.12;0.17;0.20;0.24;0.27;0.29;0.31
SPA;1400;0.00;0.04;0.10;0.17;0.23;0.28;0.33;0.37;0.41;0.43
SPA;1500;0.00;0.04;0.11;0.18;0.25;0.30;0.36;0.40;0.44;0.46
SPA;1700;0.00;0.04;0.12;0.21;0.28;0.34;0.40;0.45;0.49;0.52
SPA;1800;0.00;0.05;0.13;0.22;0.30;0.36;0.43;0.48;0.52;0.55
SPA;2500;0.00;0.06;0.18;0.31;0.42;0.51;0.59;0.67;0.73;0.77
SPA;2900;0.00;0.08;0.20;0.36;0.48;0.59;0.69;0.77;0.84;0.89
SPA;3000;0.00;0.08;0.21;0.37;0.50;0.61;0.71;0.80;0.87;0.92
SPA;3500;0.00;0.09;0.25;0.43;0.59;0.71;0.83;0.93;1.02;1.08
SPA;3600;0.00;0.09;0.25;0.44;0.60;0.73;0.85;0.96;1.05;1.11
SPA;4000;0.00;0.10;0.28;0.49;0.67;0.81;0.95;1.07;1.16;1.23
SPA;4600;0.00;0.12;0.32;0.57;0.77;0.93;1.09;1.23;1.34;1.42
SPA;5000;0.00;0.13;0.35;0.61;0.84;1.01;1.19;1.34;1.45;1.54
SPB;100;0.00;0.01;0.02;0.03;0.04;0.04;0.05;0.06;0.06;0.07
SPB;200;0.00;0.01;0.03;0.05;0.07;0.09;0.10;0.12;0.13;0.14
SPB;500;0.00;0.03;0.08;0.13;0.18;0.22;0.26;0.29;0.32;0.34
SPB;700;0.00;0.04;0.11;0.19;0.26;0.31;0.36;0.41;0.45;0.47
SPB;900;0.00;0.05;0.14;0.24;0.33;0.40;0.47;0.53;0.57;0.61
SPB;1000;0.00;0.06;0.15;0.27;0.37;0.44;0.52;0.59;0.64;0.68
SPB;1400;0.00;0.08;0.22;0.38;0.51;0.62;0.73;0.82;0.89;0.95
SPB;1500;0.00;0.09;0.23;0.40;0.55;0.67;0.78;0.88;0.96;1.01
SPB;1700;0.00;0.10;0.26;0.46;0.62;0.75;0.88;1.00;1.08;1.15
SPB;1800;0.00;0.10;0.28;0.48;0.66;0.80;0.94;1.05;1.15;1.22
SPB;2000;0.00;0.11;0.31;0.54;0.73;0.89;1.04;1.17;1.28;1.35
SPB;2500;0.00;0.14;0.39;0.67;0.92;1.11;1.30;1.46;1.59;1.69
SPB;2900;0.00;0.16;0.45;0.78;1.06;1.29;1.51;1.70;1.85;1.96
SPB;3000;0.00;0.17;0.46;0.81;1.10;1.33;1.56;1.76;1.91;2.03
SPB;3500;0.00;0.20;0.54;0.94;1.28;1.55;1.82;2.05;2.23;2.36
SPB;3600;0.00;0.20;0.56;0.97;1.32;1.60;1.87;2.11;2.30;2.43
SPC;100;0.00;0.02;0.04;0.07;0.10;0.12;0.14;0.16;0.18;0.19
SPC;150;0.00;0.02;0.06;0.11;0.15;0.18;0.22;0.24;0.27;0.28
SPC;200;0.00;0.03;0.09;0.15;0.20;0.25;0.29;0.33;0.35;0.38
SPC;300;0.00;0.05;0.13;0.22;0.31;0.37;0.43;0.49;0.53;0.56
SPC;400;0.00;0.06;0.17;0.30;0.41;0.49;0.58;0.65;0.71;0.75
SPC;600;0.00;0.09;0.26;0.45;0.61;0.74;0.87;0.98;1.06;1.13
SPC;700;0.00;0.11;0.30;0.52;0.71;0.86;1.01;1.14;1.24;1.31
SPC;750;0.00;0.12;0.32;0.56;0.76;0.92;1.08;1.22;1.33;1.41
SPC;900;0.00;0.14;0.39;0.67;0.92;1.11;1.30;1.46;1.59;1.69
SPC;1000;0.00;0.16;0.43;0.75;1.02;1.23;1.44;1.63;1.77;1.88
SPC;1400;0.00;0.22;0.60;1.05;1.42;1.73;2.02;2.28;2.48;2.63
SPC;1500;0.00;0.24;0.64;1.12;1.53;1.85;2.17;2.44;2.66;2.81
SPC;1700;0.00;0.27;0.73;1.27;1.73;2.10;2.46;2.76;3.01;3.19
SPC;1800;0.00;0.28;0.77;1.35;1.83;2.22;2.60;2.93;3.19;3.38
SPC;2000;0.00;0.31;0.86;1.49;2.03;2.47;2.89;3.25;3.54;3.75
SPC;2500;0.00;0.39;1.07;1.87;2.54;3.08;3.61;4.06;4.43;4.69
