Perfil;RPM;1.00/1.01;1.02/1.05;1.06/1.26;1.27/1.57;mas de 1.57
XPZ;100;0.00;0.00;0.01;0.01;0.01
XPZ;200;0.00;0.00;0.02;0.02;0.03
XPZ;500;0.00;0.01;0.04;0.06;0.07
XPZ;700;0.00;0.01;0.06;0.08;0.10
XPZ;900;0.00;0.01;0.07;0.10;0.12
XPZ;1000;0.00;0.01;0.08;0.11;0.14
XPZ;1400;0.00;0.02;0.11;0.16;0.19
XPZ;1500;0.00;0.02;0.12;0.17;0.21
XPZ;1700;0.00;0.02;0.14;0.19;0.24
XPZ;1800;0.00;0.02;0.14;0.21;0.25
XPZ;2500;0.00;0.03;0.20;0.29;0.35
XPZ;2900;0.00;0.04;0.23;0.33;0.40
XPZ;3000;0.00;0.04;0.24;0.34;0.42
XPZ;3500;0.00;0.04;0.28;0.40;0.49
XPZ;3600;0.00;0.04;0.29;0.41;0.50
XPZ;4000;0.00;0.05;0.32;0.46;0.55
XPZ;4500;0.00;0.06;0.36;0.52;0.62
XPZ;5000;0.00;0.06;0.40;0.57;0.69
XPA;100;0.00;0.01;0.02;0.03;0.03
XPA;200;0.00;0.01;0.04;0.05;0.06
XPA;500;0.00;0.02;0.09;0.13;0.16
XPA;700;0.00;0.02;0.13;0.18;0.22
XPA;900;0.00;0.03;0.16;0.23;0.28
XPA;1000;0.00;0.03;0.18;0.26;0.31
XPA;1400;0.00;0.04;0.25;0.36;0.44
XPA;1500;0.00;0.04;0.27;0.39;0.47
XPA;1700;0.00;0.05;0.30;0.44;0.53
XPA;1800;0.00;0.05;0.32;0.46;0.56
XPA;2500;0.00;0.07;0.45;0.64;0.78
XPA;2900;0.00;0.08;0.52;0.75;0.90
XPA;3000;0.00;0.08;0.54;0.77;0.93
XPA;3500;0.00;0.10;0.63;0.90;1.09
XPA;3600;0.00;0.10;0.64;0.93;1.12
XPA;4000;0.00;0.11;0.72;1.03;1.24
XPA;4500;0.00;0.13;0.81;1.16;1.40
XPA;5000;0.00;0.14;0.90;1.29;1.56
XPB;100;0.00;0.01;0.04;0.06;0.07
XPB;200;0.00;0.01;0.08;0.11;0.14
XPB;500;0.00;0.03;0.20;0.28;0.34
XPB;700;0.00;0.04;0.27;0.39;0.47
XPB;900;0.00;0.05;0.35;0.50;0.61
XPB;1000;0.00;0.06;0.39;0.56;0.68
XPB;1400;0.00;0.09;0.55;0.78;0.95
XPB;1500;0.00;0.09;0.59;0.84;1.02
XPB;1700;0.00;0.10;0.66;0.95;1.15
XPB;1800;0.00;0.11;0.70;1.01;1.22
XPB;2500;0.00;0.15;0.98;1.40;1.69
XPB;2900;0.00;0.18;1.13;1.62;1.97
XPB;3000;0.00;0.18;1.17;1.68;2.03
XPB;3500;0.00;0.21;1.37;1.96;2.37
XPB;3600;0.00;0.22;1.40;2.02;2.44
XPB;4000;0.00;0.24;1.56;2.24;2.71
XPB;4500;0.00;0.27;1.76;2.52;3.05
XPB;5000;0.00;0.31;1.95;2.80;3.39
XPC;100;0.00;0.01;0.07;0.10;0.12
XPC;200;0.00;0.02;0.14;0.20;0.25
XPC;300;0.00;0.03;0.21;0.30;0.37
XPC;400;0.00;0.04;0.28;0.41;0.49
XPC;500;0.00;0.06;0.35;0.51;0.61
XPC;600;0.00;0.07;0.42;0.61;0.74
XPC;700;0.00;0.08;0.49;0.71;0.86
XPC;900;0.00;0.10;0.64;0.91;1.10
XPC;1000;0.00;0.11;0.71;1.01;1.23
XPC;1400;0.00;0.15;0.99;1.42;1.72
XPC;1500;0.00;0.17;1.06;1.52;1.84
XPC;1700;0.00;0.19;1.20;1.72;2.08
XPC;1800;0.00;0.20;1.27;1.82;2.21
XPC;2000;0.00;0.22;1.41;2.03;2.45
XPC;2500;0.00;0.28;1.76;2.53;3.07
XPC;2900;0.00;0.32;2.05;2.94;3.56
XPC;3000;0.00;0.33;2.12;3.04;3.68
XPC;3500;0.00;0.39;2.47;3.55;4.29
