Perfil;RPM;1.00/1.01;1.02/1.05;1.06/1.26;1.27/1.57;mas de 1.57
3VX;100;0.00;0.00;0.01;0.01;0.01
3VX;200;0.00;0.00;0.02;0.02;0.03
3VX;500;0.00;0.01;0.04;0.06;0.07
3VX;700;0.00;0.01;0.06;0.08;0.10
3VX;900;0.00;0.01;0.07;0.10;0.12
3VX;1000;0.00;0.01;0.08;0.11;0.14
3VX;1400;0.00;0.02;0.11;0.16;0.19
3VX;1500;0.00;0.02;0.12;0.17;0.21
3VX;1700;0.00;0.02;0.14;0.19;0.24
3VX;1800;0.00;0.02;0.14;0.21;0.25
3VX;2500;0.00;0.03;0.20;0.29;0.35
3VX;2900;0.00;0.04;0.23;0.33;0.40
3VX;3000;0.00;0.04;0.24;0.34;0.42
3VX;3500;0.00;0.04;0.28;0.40;0.49
3VX;3600;0.00;0.04;0.29;0.41;0.50
3VX;4000;0.00;0.05;0.32;0.46;0.55
3VX;4500;0.00;0.06;0.36;0.52;0.62
3VX;5000;0.00;0.06;0.40;0.57;0.69
5VX;100;0.00;0.01;0.04;0.06;0.07
5VX;200;0.00;0.01;0.08;0.11;0.14
5VX;500;0.00;0.03;0.20;0.28;0.34
5VX;700;0.00;0.04;0.27;0.39;0.47
5VX;900;0.00;0.05;0.35;0.50;0.61
5VX;1000;0.00;0.06;0.39;0.56;0.68
5VX;1400;0.00;0.09;0.55;0.78;0.95
5VX;1500;0.00;0.09;0.59;0.84;1.02
5VX;1700;0.00;0.10;0.66;0.95;1.15
5VX;1800;0.00;0.11;0.70;1.01;1.22
5VX;2500;0.00;0.15;0.98;1.40;1.69
5VX;2900;0.00;0.18;1.13;1.62;1.97
5VX;3000;0.00;0.18;1.17;1.68;2.03
5VX;3500;0.00;0.21;1.37;1.96;2.37
5VX;3600;0.00;0.22;1.40;2.02;2.44
5VX;4000;0.00;0.24;1.56;2.24;2.71
5VX;4500;0.00;0.27;1.76;2.52;3.05
5VX;5000;0.00;0.31;1.95;2.80;3.39
