z2-z1;C
1;0,0253
2;0,1013
3;0,2280
4;0,4053
5;0,6333
6;0,9120
7;1,2410
8;1,6210
9;2,0520
10;2,5330
11;3,0650
12;3,6480
13;4,2810
14;4,9650
15;5,6990
16;6,4850
17;7,3200
18;8,2070
19;9,1440
20;10,1320
21;11,1710
22;12,2600
23;13,4000
24;14,5900
25;15,8310
26;17,1230
27;18,4660
28;19,8590
29;21,3030
30;22,7970
31;24,3420
32;25,9380
33;27,5850
34;28,2820
35;31,0300
36;32,8280
37;34,6770
38;36,5770
39;38,5270
40;40,5290
41;42,5800
42;44,6830
43;46,8360
44;49,0400
45;51,2940
46;53,5990
47;55,9550
48;58,3610
49;60,8180
50;63,3260
51;65,8840
52;68,4930
53;71,1530
54;73,8630
55;76,6240
56;79,4360
57;82,2980
58;85,2110
59;88,1750
60;91,1890
61;94,2540
62;97,3700
63;100,5360
64;103,7530
65;107,0210
66;110,3390
67;113,7080
68;117,1280
69;120,5980
70;124,1190
71;127,6900
72;131,3130
73;134,9860
74;138,7090
75;142,4830
76;146,3080
77;150,1840
78;154,1100
79;158,0870
80;162,1150
81;166,1910
82;170,3200
83;174,4500
84;178,7300
85;183,0110
86;187,3420
87;191,7240
88;196,1570
89;200,6400
90;205,1740
91;209,7590
92;214,3950
93;219,0810
94;223,8170
95;228,6050
96;233,4430
97;238,3220
98;243,2710
99;248,2610
100;253,3020
